sdss_id,n_visits_staged,split
56288115,4,training
56288129,4,heldout
56288453,9,heldout
56288526,6,heldout
56288542,5,training
56288559,3,heldout
56289248,5,heldout
56289265,2,heldout
56290633,4,training
56290646,4,training
56290665,4,other
56290795,6,heldout
56290974,7,heldout
56291258,4,training
56291440,4,training
56292042,4,heldout
56293494,2,other
56293608,4,heldout
56293643,3,training
56293667,3,training
56293701,6,training
56293707,3,training
56294184,3,heldout
56294373,4,heldout
56294651,4,heldout
56294925,5,training
56296920,2,heldout
56297134,2,training
56297313,4,heldout
56297396,4,training
56297895,4,heldout
56297936,2,training
56298137,4,training
56298391,3,heldout
56298739,2,heldout
56299432,4,heldout
56299602,5,training
56299727,2,training
56300375,4,heldout
56300493,5,other
56302936,4,training
56303046,2,heldout
56303673,2,training
56303754,2,training
56304235,6,heldout
56304257,2,training
56304284,3,heldout
56304329,5,training
56304423,4,training
56304575,6,training
56304590,4,training
56304805,3,other
56304822,4,heldout
56304828,4,training
56304842,2,training
56305027,2,training
56305059,6,training
56305079,6,training
56305286,5,heldout
56305390,2,training
56305436,2,other
56305489,4,training
56305522,4,heldout
56305606,4,training
56305617,2,training
56305636,6,training
56305775,3,training
56305784,2,heldout
56305815,3,heldout
56305906,2,other
56305932,3,training
56306314,4,heldout
56306406,4,heldout
56306415,3,training
56307599,3,heldout
56307831,3,heldout
56310162,5,heldout
